Date,Name,Country,BusinessType,BusinessSubType,BreachType,DataType,DataType2,InsideOutside,ThirdParty,ThirdPartyName,TotalAffected,RefPage,UID,XREF1,StockSymbol,DataRecovered,ConsumerLawsuit,ArrestProsecution
12/5/2007,Forrester Research,US,Biz,Tech,Stolen Laptop,SSN,NAA,Outside,No,,?,http://attrition.org/dataloss/2007/12/forrester01.html,DL-0840,,FORR,No,No,No
12/6/2007,Oak Ridge National Laboratory,US,Gov,Fed,Hack,SSN,NAA,Outside,No,,12000,http://attrition.org/dataloss/2007/12/ornl01.html,DL-0841,,No,No,No,No
12/7/2007,Citizens Advice,IE,Biz,Fin,Stolen Laptop,FIN,NAA,Outside,No,,60000,http://attrition.org/dataloss/2007/12/citizens01.html,DL-0842,,No,No,No,No
12/10/2007,Tricare Europe,US,Gov,Fed,Web,SSN,NAA,Outside,No,,?,http://attrition.org/dataloss/2007/12/tricare01.html,DL-0843,,No,No,No,No
12/10/2007,Sutter Lakeside Hospital,US,Med,Hos,Stolen Laptop,SSN,NAA,Outside,No,,45000,http://attrition.org/dataloss/2007/12/slh01.html,DL-0844,,No,No,No,No
12/10/2007,Cameron County Texas,US,Gov,County,Email,SSN,NAA,Inside - Malicious,No,,?,http://attrition.org/dataloss/2007/12/cameron01.html,DL-0858,,No,No,No,Yes
12/11/2007,Iowa Department of Natural Resources,US,Gov,State,Lost Drive,SSN,NAA,Outside,Yes,?,7000,http://attrition.org/dataloss/2007/12/iadnr01.html,DL-0846,,No,No,No,No
12/14/2007,Deloitte & Touche,US,Biz,Tech,Stolen Laptop,SSN,NAA,Outside,Yes,IKON Office Solutions,?,http://attrition.org/dataloss/2007/12/deloitte01.html,DL-0847,,No,No,No,No
12/17/2007,West Penn Allegheny Health System,US,Med,Hos,Stolen Laptop,SSN,NAA,Outside,No,,42000,http://attrition.org/dataloss/2007/12/wpahs01.html,DL-0851,,No,No,No,No
12/17/2007,Royal Bolton Hospital,GB,Med,Hos,Stolen Laptop,SSN,NAA,Outside,No,,360,http://attrition.org/dataloss/2007/12/rbh01.html,DL-0852,,No,No,No,No
12/18/2007,HM Revenue and Customs,GB,Gov,Fed,Lost Tape,SSN,NAA,Outside,Yes,?,6500,http://attrition.org/dataloss/2007/12/hmrc01.html,DL-0853,,No,No,No,No
12/19/2007,Pennsylvania Department of Aging,US,Gov,State,Stolen Laptop,SSN,NAA,Outside,No,,20632,http://attrition.org/dataloss/2007/12/padoa01.html,DL-0854,,No,No,No,No
12/20/2007,Dormitory Authority of the State of New York,US,Gov,State,Lost Tapes,SSN,NAA,Outside,Yes,UPS,900,http://attrition.org/dataloss/2007/12/dasny01.html,DL-0855,,No,Yes,No,No
12/20/2007,Greenville County School District,US,Gov,County,Hack,SSN,NAA,Outside,No,,500,http://attrition.org/dataloss/2007/12/gcsd01.html,DL-0857,,No,No,No,No
12/21/2007,Skipton Financial Services,GB,Biz,Fin,Stolen Laptop,SSN,FIN,Outside,Yes,Moore Stephens Consulting Ltd,14000,http://attrition.org/dataloss/2007/12/skipton01.html,DL-0856,,No,No,No,No
12/21/2007,Franklin County Ohio Municipal Court,US,Gov,County,Web,SSN,NAA,Outside,No,,270,http://attrition.org/dataloss/2007/12/franklin02.html,DL-0859,,No,No,No,No
12/28/2007,Minnesota Department of Commerce,US,Gov,State,Stolen Laptop,SSN,NAA,Outside,Yes,Promissor Corporation,219,http://attrition.org/dataloss/2007/12/mdoc01.html,DL-0860,,No,No,No,No
12/28/2007,Davidson County Election Commission,US,Gov,County,Stolen Laptops,SSN,NAA,Outside,No,,337000,http://attrition.org/dataloss/2007/12/dcec01.html,DL-0861,,No,Yes,Yes,Yes
12/28/2007,United States Air Force,US,Gov,Fed,Lost Laptop,SSN,NAA,Outside,No,,10501,http://attrition.org/dataloss/2007/12/usaf01.html,DL-0862,,No,No,No,No
12/29/2007,Administrative Systems,US,Biz,Ins,Stolen Computer,SSN,NAA,Outside,No,,?,http://attrition.org/dataloss/2007/12/asi01.html,DL-0941,,No,No,No,No
1/2/2008,Workers Compensation Fund,US,Biz,Fin,Stolen Laptop,SSN,?,Outside,No,,2800,http://attrition.org/dataloss/2008/01/wcf01.html,DL-0863,,No,No,No,No
1/3/2008,Dorothy Hains Elementary School,US,Edu,City,Stolen Computer,SSN,?,Outside,No,,?,http://attrition.org/dataloss/2008/01/dhes01.html,DL-0864,,No,No,No,No
1/4/2008,Health Net,US,Med,Ins,Stolen Laptop,SSN,NAA,Outside,Yes,?,5000,http://attrition.org/dataloss/2008/01/healthnet01.html,DL-0865,,No,No,No,No
1/4/2008,Florida Department of Children and Families,US,Gov,State,Stolen Laptops,SSN,NAA,Outside,No,,?,http://attrition.org/dataloss/2008/01/fdcf01.html,DL-0866,,No,No,No,No
1/4/2008,Maryland Department of Assessments and Taxation,US,Gov,State,Web,SSN,?,Outside,No,,900,http://attrition.org/dataloss/2008/01/mdat01.html,DL-0867,,No,No,No,No
1/5/2008,New Mexico State University,US,Edu,Uni,Lost Disk Drive,SSN,NAA,Outside,No,,?,http://attrition.org/dataloss/2008/01/nmsu01.html,DL-0868,,No,No,No,No
1/7/2008,Geeks.com,US,Biz,Tech,Hack,CCN,NAA,Outside,No,,?,http://attrition.org/dataloss/2008/01/geeks01.html,DL-0869,,No,No,No,No
1/8/2008,Wisconsin Department of Health and Family Services,US,Gov,State,Snail Mail,SSN,NAA,Outside,Yes,Electronic Data Systems Corp.,260000,http://attrition.org/dataloss/2008/01/wdhfs01.html,DL-0870,,No,No,No,No
1/9/2008,University of Georgia,US,Edu,Uni,Hack,SSN,NAA,Outside,No,,4250,http://attrition.org/dataloss/2008/01/uga01.html,DL-0871,,No,No,No,No
1/10/2008,Select Physical Therapy,US,Med,Pro,Disposal - Documents,SSN,NAA,Outside,No,,4000,http://attrition.org/dataloss/2008/01/spt01.html,DL-0875,,No,No,Yes,No
1/11/2008,University of Akron,US,Edu,Uni,Lost Disk Drive,SSN,NAA,Outside,No,,800,http://attrition.org/dataloss/2008/01/akron01.html,DL-0873,,No,No,No,No
1/11/2008,University of Iowa,US,Edu,Uni,Web,SSN,?,Outside,No,,216,http://attrition.org/dataloss/2008/01/uiowa01.html,DL-0874,,No,No,No,No
1/11/2008,Oldham NHS Primary Care Trust,GB,Med,Gov,Lost Drives,MED,NAA,Outside,No,,148,http://attrition.org/dataloss/2008/01/oldham01.html,DL-0876,,No,No,No,No
1/11/2008,Virginia Department of Social Services,US,Gov,State,Fraud - SE,SSN,NAA,Inside - Malicious,No,,1500,http://attrition.org/dataloss/2008/01/vdss01.html,DL-0878,,No,No,No,No
1/12/2008,California State University Stanislaus,US,Edu,Uni,Web,CCN,NAA,Outside,Yes,Sodexho,?,http://attrition.org/dataloss/2008/01/csus01.html,DL-0877,,No,No,No,No
1/14/2008,Tennessee Tech University,US,Edu,Uni,Lost Drive,SSN,NAA,Outside,No,,990,http://attrition.org/dataloss/2008/01/ttu01.html,DL-0879,,No,No,No,No
1/15/2008,Naval Surface Warfare Center Dahlgren Division,US,Gov,Fed,Lost Document,SSN,NAA,Outside,No,,100,http://attrition.org/dataloss/2008/01/dahlgren01.html,DL-0880,,No,Yes,No,Yes
1/15/2008,Wisconsin Department of Revenue,US,Gov,State,Snail Mail,SSN,NAA,Outside,No,,5000,http://attrition.org/dataloss/2008/01/wdr01.html,DL-0881,,No,No,No,No
